CLASS	METHOD	PARAMETER	INDEX
com.bumptech.glide.MemoryCategory	MemoryCategory(float)	multiplier	0
com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	requestManager	0
com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	preloadDimensionProvider	2
com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	preloadModelProvider	1
com.bumptech.glide.ListPreloader	ListPreloader(com.bumptech.glide.RequestManager,com.bumptech.glide.ListPreloader.PreloadModelProvider,com.bumptech.glide.ListPreloader.PreloadSizeProvider,int)	maxPreload	3
com.bumptech.glide.ListPreloader	onScroll(android.widget.AbsListView,int,int,int)	totalCount	3
com.bumptech.glide.ListPreloader	onScroll(android.widget.AbsListView,int,int,int)	firstVisible	1
com.bumptech.glide.ListPreloader	preload(int,boolean)	increasing	1
com.bumptech.glide.ListPreloader	preload(int,int)	to	1
com.bumptech.glide.ListPreloader	preload(int,int)	from	0
com.bumptech.glide.ListPreloader	preloadAdapterPosition(java.util.List,int,boolean)	isIncreasing	2
com.bumptech.glide.ListPreloader	preloadAdapterPosition(java.util.List,int,boolean)	items	0
com.bumptech.glide.ListPreloader	preloadItem(T,int,int)	item	0
com.bumptech.glide.ListPreloader$PreloadTargetQueue	PreloadTargetQueue(int)	size	0
com.bumptech.glide.ListPreloader$PreloadTargetQueue	next(int,int)	height	1
com.bumptech.glide.ListPreloader$PreloadTargetQueue	next(int,int)	width	0
com.bumptech.glide.ListPreloader$PreloadTarget	getSize(com.bumptech.glide.request.target.SizeReadyCallback)	cb	0
com.bumptech.glide.ListPreloader$PreloadTarget	setRequest(com.bumptech.glide.request.Request)	request	0
com.bumptech.glide.request.RequestOptions	skipMemoryCacheOf(boolean)	skipMemoryCache	0
com.bumptech.glide.request.RequestOptions	equals(java.lang.Object)	o	0
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	glide	0
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	factory	4
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	treeNode	2
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	lifecycle	1
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	requestTracker	3
com.bumptech.glide.RequestManager	RequestManager(com.bumptech.glide.Glide,com.bumptech.glide.manager.Lifecycle,com.bumptech.glide.manager.RequestManagerTreeNode,com.bumptech.glide.manager.RequestTracker,com.bumptech.glide.manager.ConnectivityMonitorFactory,android.content.Context)	context	5
com.bumptech.glide.RequestManager	setRequestOptions(com.bumptech.glide.request.RequestOptions)	toSet	0
com.bumptech.glide.RequestManager	setPauseAllRequestsOnTrimMemoryModerate(boolean)	pauseAllOnTrim	0
com.bumptech.glide.RequestManager	as(java.lang.Class)	resourceClass	0
com.bumptech.glide.RequestManager	clear(com.bumptech.glide.request.target.Target)	target	0
com.bumptech.glide.RequestManager	untrackOrDelegate(com.bumptech.glide.request.target.Target)	target	0
com.bumptech.glide.RequestManager	untrack(com.bumptech.glide.request.target.Target)	target	0
com.bumptech.glide.RequestManager	onTrimMemory(int)	level	0
com.bumptech.glide.RequestManager$RequestManagerConnectivityListener	RequestManagerConnectivityListener(com.bumptech.glide.manager.RequestTracker)	requestTracker	0
com.bumptech.glide.RequestManager$RequestManagerConnectivityListener	onConnectivityChanged(boolean)	isConnected	0
com.bumptech.glide.request.BaseRequestOptions	isSet(int,int)	fields	0
